TYPE,NAME,TITLE
MS1,Pengwen Chen,
MS1,Eric King-wah Chu,
MS1,Van Su Giap,Spectral properties of stochastic block model
MS1,Akira Imakura,
MS1,Chiu-Yen Kao,A semi-definite optimization method for maximizing the shared band gap of topologicalpPhotonic crystals
MS1,Li-Gang Lin,Fast SDDRE-based maneuvering-target interception at prespecified orientation
MS1,Matthew M. Lin,
MS1,Etna Lindy,Nonnegative rank-2 approximations -- on choosing a starting point for ANLS
MS1,Tzon-Tzer Lu,Uncertainty principle of condition number
MS1,Shinya Miyajima,Some norm bounds on the complimentary error matrix functions
MS1,Haesun Park,
MS1,Peter Chang-Yi Weng,Generalized Smith method for large-scale nonsymmetric algebraic Riccati equations
MS2,Jane Breen,
MS2,Richard A. Brualdi,(Reverse-)Grassmannian permutation matrices
MS2,Himanshu Gupta,Minimum number of distinct eigenvalues of Johnson and Hamming graphs
MS2,Carlos Hoppen,Spectral community detection in geometric random graphs
MS2,Zilin Jiang,Median eigenvalues of subcubic graphs
MS2,Steve Kirkland,A centrality measure for cut edges in undirected graphs
MS2,Emanuel Juliano Morais Silva,Spectral upper bounds for the Grundy number of a graph
MS2,Shahla Nasserasr,An approach to computing maximum multiplicity of eigenvalues in graphs
MS2,Rachel Quinlan,Idempotent alternating sign matrices
MS2,Helena Šmigoc,Stochastic matrices with infinitely many stochastic roots
MS2,Kevin Vander Meulen,Matrix sign patterns that allow the strong multiplicity property
MS2,Wei Wang,
MS3,Pattrawut Chansangiam,Integral inequalities of Kantorovich and Fiedler types for Hadamard products of matrices
MS3,Shigeru Furuichi,Inequalities on spectral geometric mean and application for relative entropy
MS3,Rute Lemos,$J$-selfadoint matrix means and their indefinite inequalities
MS3,Zhongshan Li,The orthogonal equivalence transversality property
MS3,Hiroyuki Osaka,
MS3,Yang Zhang,
MS4,Davide Bianchi,
MS4,Jonas Bresch,Matrix-free stochastic calculation of operator norms without using adjoint---on the way to compute the adjoint mismatch
MS4,Daniela Calvetti,The linear algebra of space-time regularization for time-dependent distributed inverse problems
MS4,Matthias Chung,
MS4,Tiangang Cui,
MS4,Philip Dinenis,Preconditioning for uncertainty quantification of high-dimensional inverse problems
MS4,Srinivas Eswar,
MS4,Colin Fox,
MS4,Mirjeta Pasha,
MS4,Vishwas Rao,
MS4,Fred Roosta,
MS4,Arvind K. Saibaba,
MS5,Anjali Beniwal,Computation of an exact and approximate GCRD of several polynomial matrices using generalized Sylvester matrices
MS5,Roberto Canogar,
MS5,Fernando De Terán,The uniqueness of solution of systems of generalized Sylvester and $\star$-Sylvester equations
MS5,Massimiliano Fasi,Mixed-precision algorithms for the Sylvester matrix equation
MS5,Bruno Iannazzo,
MS5,Rudra Kamat,Simultaneous symplectic normalisation of quadratic forms
MS5,Patrick Kürschner,
MS5,Beatrice Meini,A combination of cyclic reduction and shift-and-deflate techniques for solving quadratic matrix equations
MS5,Davide Palitta,A subspace-conjugate gradient method for linear matrix equations
MS5,Steffen W. R. Werner,Efficiently solving nonstandard Riccati equations via indefinite factorizations
MS6,Robin Armstrong,Identifying and estimating dynamical covariance matrices with hierarchical rank structure
MS6,Christopher Beattie,Gaussian process regression for the identification of model dynamics
MS6,Saifon Chaturantabut,Nonlinear model reduction using machine learning on Grassmann Manifol
MS6,Zlatko Drmac,Koopman mode decomposition for nonlinear model reduction
MS6,Riccardo Morandin,Structure-preserving model order reduction of linear time-varying port-Hamiltonian systems
MS6,Zoran Tomljanovic,Efficient solution of sequences of parametrized Lyapunov equations with applications
MS6,Steffen W. R. Werner,Reduced-order modeling of mechanical systems via structured barycentric forms
MS6,Ralf Zimmermann,Maximum volume coordinates for subspace interpolation
MS7,Saptak Bhattacharya,
MS7,Ngoc Muoi Bui,On entanglement-breaking quantum channels
MS7,Man-Duen Choi,
MS7,Chung-Yun Hsieh,Quantum complementarity: A novel resource for exclusion
MS7,Hsien-Yi Hsieh,
MS7,Shao-Hua Hu,
MS7,Bing-Ze Lu,
MS7,Sang-Gyun Youn,
MS8,Michal Eckstein,Max-type quasidistances probability simplices
MS8,Shmuel Friedland,"On entaglement, separability and their computability"
MS8,Gilad Gour,Tensors structures in single-shot quantum information: from convex splits to induced divergences
MS8,Sooyeong Kim,
MS8,Zehua Lai,
MS8,Chi-Kwong Li,
MS8,Tomasz Miller,A new class of distances between pure quantum states
MS8,Albert Rico,
MS8,Shakir Showkat Sofi,Tensor train completion of multiway data observed in a single mode
MS8,Raymond Sze,
MS8,Jeroen Zuiddam,
MS9,Sujit Sakharam Damase,
MS9,Jorge Delgado,Computations with high relative accuracy for the collocation matrices of q-Jacobi polynomials
MS9,Shaun Fallat,Preservers of totally positive and totally nonnegative matrices
MS9,Tanvi Jain,
MS9,Dmitrii Karp,Unimodality preservation by ratios of functional series and integral transforms
MS9,Olga Katkova,
MS9,Apoorva Khare,Univariate preservers of totally positive matrices and kernels
MS9,Anna Vishnyakova,On total positivity of sequences generated by  real polynomials and $q$-polynomials
MS9,Shivangi Yadav,Linear preservers of sign regularity
MS10,Hayoung Choi,Geometric mean of T-positive definite tensors
MS10,Trung Hoa Dinh,Operator means and quantum divergences
MS10,Huajun Huang,Progress on Orders of Matrix Means
MS10,Sejong Kim,Quasi-Wasserstein mean of positive definite matrices
MS10,Luís Machado,Spherical triangular configurations with invariant geometric mean
MS10,Vatsalkumar Mer,
MS10,Milán Mosonyi,
MS10,Miklós Pálfia,
MS10,Tin-Yau Tam,
MS10,Anmary Tonny,Results on the symplectic spectrum of some special classes of operators
MS10,Trung Dung Vuong,
MS10,Takeaki Yamazaki,Stability of AN-operators under functional calculus
MS11,Chun-Yueh Chiang,
MS11,Hung-Yuan Fan,Inheritance properties of conjugate discrete-time algebraic Riccati equations
MS11,Yung-Ta Li,
MS11,Ching-Sung Liu,
MS11,Homoon Ryu,
MS11,Shih-Feng Shieh,
MS11,Chin-Tien Wu,
MS12,Osamu Hatori,Isometries on groups of invertible elements in Fourier-Stieltjes algebras
MS12,Takeshi Miura,Surjective isometries on Banach spaces with derivatives
MS12,Lajos Molnár,
MS12,Michiya Mori,On the Scottish Book Problem 155 by Mazur and Sternbach
MS12,Shiho Oi,Periodic surjective isometries on Banach algebras
MS12,Edward Poon,Linear preservers of parallel pairs
MS12,Saikat Roy,Preservation of orthogonality by unitary and isometric dilations
MS12,Peter Semrl,Local order isomorphisms on operator and matrix domains
MS12,Ryotaro Tanaka,On homeomorphisms between geometric structure spaces of primitive $C^*$-algebras
MS12,Dániel Virosztek,Isometries and metric properties of quantum Wasserstein distances
MS13,Takeshi Fukaya,
MS13,Mark Gates,
MS13,Daniel B. Szyld,
MS13,Sivan Toledo,
MS14,Shreemayee Bora,The distance to bounded realness revisited
MS14,Andrii Dmytryshyn,Minimal indices through perturbation behavior
MS14,Froilan M. Dopico,Polynomial and rational matrices with the invariant rational functions and the four sequences of minimal indices prescribed
MS14,Miryam Gnazzo,Stable extraction of eigenpairs from a subspace for generalized eigenvalue problems
MS14,Antti Hannukainen,A Ritz method for solution of parametric generalized EVPs
MS14,Ding Lu,
MS14,Steve Mackey,Sign characteristic in the inverse problem for Hermitian matrix polynomials
MS14,Vanni Noferini,Invertible bases and root vectors for analytic matrix-valued functions
MS14,Lauri Nyman,Nearest $\Omega$-stable pencil with Riemannian optimization
MS14,Javier Perez,On the numerical stability of compact Krylov methods
MS14,Alicia Roca,Row completion of polynomial and rational matrices and partial prescription of their  structure
MS14,Punit Sharma,Eigenvalue backward errors of Rosenbrock systems
MS15,Wei-Chia Chen,Curvature on graphs via distance matrix
MS15,Joshua Cooper,Principal eigenvectors and principal ratios in hypergraph Tur\'{a}n problems
MS15,Himanshu Gupta,"On the eigenvalues of the graphs $D(5, q)$"
MS15,Kristin Heysse,Degenerate eigenvalues for the non-backtracking matrix
MS15,Mark Kempton,"Nonbacktracking random walks: mixing rate, Kemeny's constant, and beyond"
MS15,Franklin Kenter,A geometric adaptation of the Chung-Lu graph model
MS15,Kate Lorenzen,Cospectral constructions for the generalized distance matrix
MS15,Lavanya Selvaganesh,Perfect codes and spectrum of graphs - a brief survey
MS15,Michael Tait,Expansion and the normalized distance Laplacian matrix
MS16,Oleg Balabanov,
MS16,Zhao Li,
MS16,Xiaobo Liu,
MS16,Eda Oktay,Mixed precision parallel operations for tensor train arithmetic
MS16,Michael Saunders,
MS16,Tomohiro Sogabe,Numerical algorithms for matrix functions using the double exponential formulas
MS16,Sofia Sukmaniuk,
MS16,Bastien Vieublé,Mixed precision strategies for preconditioned GMRES
MS16,Ning Zheng,
MS17,Aida Abiad,Recent developments of switching methods for the construction of cospectral graphs
MS17,Chassidy Bozeman,On the tree cover number and the positive semidefinite maximum nullity of a graph
MS17,Louis Deaett,I love the triangle number!
MS17,Shaun Fallat,Leslie's enduring influence on the IEP-G and zero forcing
MS17,Mary Flagg,Reconfiguring a community
MS17,Tracy Hall,
MS17,Franklin Kenter,Leaky forcing: extending zero forcing results to a fault-tolerant setting
MS17,Anzila Laikhuram,Inverse eigenvalue problem for discrete Schrödinger operators of a graph
MS17,Jephian C.-H. Lin,Inverse fiedler vector problem of a graph
MS17,Hermie Monterde,Uniform mixing and apportionability
MS17,Michael Tait,Extremal problems on graphs with $q=2$
MS17,Derek Young,Relationships between minimum rank problem parameters for cobipartite graphs
MS18,Maolin Che,
MS18,Longxiu Huang,
MS18,Joe Kileel,
MS18,Gilad Lerman,
MS18,Anna Ma,Stochastic iterative methods for solving tensor linear systems
MS18,Elizabeth Newman,Optimal matrix-mimetic tensor algebras via variable projection
MS18,Jing Niu,A tensor alternating Anderson--Richardson method for solving multilinear systems with $ \mathcal{M} $-tensors
MS18,Junjun Pan,
MS18,Jingmei Qiu,
MS18,Leonardo Robol,A multilinear Nyström algorithm for low-rank approximation of tensors in Tucker format
MS19,Antonio Cicone,Signal processing of spherical data. From real life to mathematical challenges
MS19,Sven-Erik Ekström,
MS19,Dario Giandinoto,
MS19,Sean Hon,An optimal preconditioned MINRES method for nonsymmetric multilevel block Toeplitz systems with applications
MS19,Asim Ilyas,Quasi-boundary regularization for space-time fractional diffusion equations with variable coefficients
MS19,Muhammad Faisal Khan,"Geometric means of HPD GLT matrix-sequences: structure, invertibility, and convergence"
MS19,Valerio Loi,"Spectral analysis, approximation, and preconditioning for block structured matrix-sequences"
MS19,David Meadon,
MS19,Stefano Serra-Capizzano,
MS19,Boris Shapiro,On eigenvalues of rectangular matrices
MS19,Rosita Luisa Sormani,GLT-based preconditioning for nonsymmetric Toeplitz systems
MS20,Chih-Wei Chen,Convergence of Hessian estimator from random samples on a manifold with boundary
MS20,Guangliang Chen,"On parameter tuning for spectral clustering: two simple, fast, and effective criteria"
MS20,Szu-Chi Chung,A framework for exploring the conformational landscape of cryo-EM using energy-aware pathfinding algorithm
MS20,Shih-Hao Huang,Coordinate testing for general sufficient dimension reduction methods
MS20,Yu-Jie Huang,Application of VoxelMorph and SynthMorph for multitype 3D medical image registration
MS20,Szu-Han Lin,Distributed $t$-SNE
MS20,ShengLi Tzeng,Integrating Covariates in Learning Spatio-Temporal Patterns
MS20,Shao-Hsuan Wang,
MS20,Sing-Yuan Yeh,Landmark diffusion accelerates alternating diffusion maps for multi-sensor fusion
MS21,Enide Andrade,Doubly stochastic matrices and graphs
MS21,Milica Anđelić,Laplacian eigenvalues of weighted threshold graphs
MS21,Anirban  Banarjee,
MS21,Sasmita Barik,Limit points of the smallest positive eigenvalues of graphs
MS21,Mushtaq Ahmad Bhat,
MS21,Projesh Nath Choudhury,"Two invariants of distance matrices of trees, in a unified framework"
MS21,Joshua Cooper,Determinants of Steiner distance hypermatrices
MS21,Susana Furtado,Approximation of reciprocal matrices by consistent matrices
MS21,Iswar Mahato,A generalized class of matrices associated to threshold and chain graphs
MS21,Debabrota Mondal,Smallest positive eigenvalue of non-bipartite unicyclic graphs
MS21,Madhab Mondal,A $q$-analogue of the distance matrix of a tree with matrix weights
MS21,Krishnan Sivasubramanian,
MS22,Gary Choi,Density-equalizing map with applications
MS22,Shu-Yung Liu,Spherical volume-preserving parameterization via energy minimization
